membership_id,customer_id,guild_id,tier,valid_from,valid_to
MEM-00094,WIZ-00141,GLD-08,apprentice,2025-11-07,
MEM-00095,WIZ-00143,GLD-01,adept,2026-01-16,
MEM-00096,WIZ-00144,GLD-05,apprentice,2026-02-04,
MEM-00097,WIZ-00145,GLD-06,adept,2026-04-27,
MEM-00098,WIZ-00148,GLD-01,APPRENTICE,2025-02-20,
MEM-00099,WIZ-00149,GLD-04,adept,2024-11-12,
MEM-00100,WIZ-00151,GLD-02,apprentice,2025-11-30,
MEM-00101,WIZ-00153,GLD-04,adept,2026-06-30,
MEM-00102,WIZ-00154,GLD-04,archmage,2026-06-14,
MEM-00103,WIZ-00155,GLD-11,apprentice,2026-03-19,
MEM-00104,WIZ-00156,GLD-01,apprentice,2025-04-07,
MEM-00105,WIZ-00158,GLD-08,Apprentice,2026-01-23,
MEM-00106,WIZ-00160,GLD-01,adept,2024-03-17,
MEM-00107,WIZ-00162,GLD-10,Apprentice,2025-06-10,
MEM-00108,WIZ-00163,GLD-01,ARCHMAGE,2025-12-08,
MEM-00109,WIZ-00164,GLD-09,ARCHMAGE,2025-10-28,
MEM-00110,WIZ-00165,GLD-01,apprentice,2025-02-07,
MEM-00111,WIZ-00166,GLD-11,Apprentice,2023-11-16,
MEM-00112,WIZ-00167,GLD-01,apprentice,2023-04-04,2024-05-06
MEM-00113,WIZ-00167,GLD-01,ADEPT,2024-05-06,
MEM-00114,WIZ-00168,GLD-07,apprentice,2025-12-23,
MEM-00115,WIZ-00169,GLD-04,Apprentice,2025-04-28,2025-11-06
MEM-00116,WIZ-00169,GLD-04,Adept,2025-11-06,
MEM-00117,WIZ-00170,GLD-06,apprentice,2026-02-22,
MEM-00118,WIZ-00174,GLD-05,Apprentice,2024-01-19,
MEM-00119,WIZ-00175,GLD-03,apprentice,2026-01-19,
MEM-00120,WIZ-00177,GLD-07,APPRENTICE,2024-07-04,
MEM-00121,WIZ-00178,GLD-02,apprentice,2026-06-11,
MEM-00122,WIZ-00180,GLD-01,apprentice,2026-02-05,
MEM-00123,WIZ-00183,GLD-11,adept,2026-03-22,2026-05-11
MEM-00124,WIZ-00183,GLD-11,archmage,2026-05-11,
MEM-00125,WIZ-00184,GLD-04,Apprentice,2023-12-18,
MEM-00126,WIZ-00185,GLD-05,apprentice,2026-04-09,2026-05-10
MEM-00127,WIZ-00185,GLD-05,adept,2026-05-10,
MEM-00128,WIZ-00187,GLD-07,apprentice,2023-06-17,2024-06-10
MEM-00129,WIZ-00187,GLD-07,adept,2024-06-10,
MEM-00130,WIZ-00190,GLD-07,apprentice,2024-11-04,
MEM-00131,WIZ-00191,GLD-04,Apprentice,2024-09-25,
MEM-00132,WIZ-00193,GLD-04,apprentice,2024-10-11,
MEM-00133,WIZ-00194,GLD-04,APPRENTICE,2025-02-18,
MEM-00134,WIZ-00195,GLD-05,apprentice,2024-10-30,2025-01-29
MEM-00135,WIZ-00195,GLD-05,Adept,2025-01-29,
MEM-00136,WIZ-00198,GLD-03,adept,2025-04-22,2025-07-28
MEM-00137,WIZ-00198,GLD-03,archmage,2025-07-28,
MEM-00138,WIZ-00199,GLD-07,apprentice,2023-06-07,
MEM-00139,WIZ-00201,GLD-08,apprentice,2023-10-16,
MEM-00140,WIZ-00203,GLD-05,APPRENTICE,2026-01-28,
MEM-00141,WIZ-00204,GLD-08,adept,2025-03-07,
MEM-00142,WIZ-00206,GLD-01,apprentice,2025-11-29,2026-04-29
MEM-00143,WIZ-00206,GLD-01,adept,2026-04-29,
MEM-00144,WIZ-00208,GLD-07,apprentice,2024-08-07,
MEM-00145,WIZ-00209,GLD-05,Adept,2026-05-31,
MEM-00146,WIZ-00210,GLD-11,adept,2025-06-13,
MEM-00147,WIZ-00211,GLD-03,adept,2025-07-24,
MEM-00148,WIZ-00212,GLD-06,apprentice,2023-02-08,2023-10-12
MEM-00149,WIZ-00212,GLD-06,adept,2023-10-12,
MEM-00150,WIZ-00214,GLD-04,apprentice,2024-12-15,
MEM-00151,WIZ-00215,GLD-10,apprentice,2026-01-08,
MEM-00152,WIZ-00216,GLD-10,APPRENTICE,2023-10-07,2024-09-14
MEM-00153,WIZ-00216,GLD-10,ADEPT,2024-09-14,
MEM-00154,WIZ-00217,GLD-04,apprentice,2024-11-08,
MEM-00155,WIZ-00218,GLD-07,apprentice,2026-06-28,
MEM-00156,WIZ-00219,GLD-01,Archmage,2024-01-10,
MEM-00157,WIZ-00222,GLD-02,ARCHMAGE,2026-03-17,
MEM-00158,WIZ-00223,GLD-03,APPRENTICE,2026-01-26,
MEM-00159,WIZ-00224,GLD-07,apprentice,2026-06-01,
MEM-00160,WIZ-00226,GLD-04,apprentice,2026-05-23,
MEM-00161,WIZ-00227,GLD-12,Apprentice,2024-03-27,
MEM-00162,WIZ-00228,GLD-05,apprentice,2026-06-02,
MEM-00163,WIZ-00229,GLD-09,Apprentice,2023-12-20,
MEM-00164,WIZ-00234,GLD-01,apprentice,2026-02-06,
MEM-00165,WIZ-00235,GLD-05,archmage,2024-07-30,
MEM-00166,WIZ-00236,GLD-06,Apprentice,2024-09-24,
MEM-00167,WIZ-00237,GLD-11,ARCHMAGE,2023-08-30,
MEM-00168,WIZ-00239,GLD-02,APPRENTICE,2025-05-23,
MEM-00169,WIZ-00241,GLD-06,APPRENTICE,2026-06-10,
MEM-00170,WIZ-00242,GLD-10,APPRENTICE,2023-10-12,
MEM-00171,WIZ-00245,GLD-11,apprentice,2025-05-03,2026-03-14
MEM-00172,WIZ-00245,GLD-11,adept,2026-03-14,
MEM-00173,WIZ-00247,GLD-02,adept,2025-09-01,
MEM-00174,WIZ-00250,GLD-11,adept,2024-04-02,
MEM-00175,WIZ-00251,GLD-04,adept,2025-08-03,
MEM-00176,WIZ-00252,GLD-05,apprentice,2025-08-22,
MEM-00177,WIZ-00253,GLD-01,Apprentice,2023-11-26,
MEM-00178,WIZ-00254,GLD-01,apprentice,2025-05-25,2025-09-13
MEM-00179,WIZ-00254,GLD-01,ADEPT,2025-09-13,
MEM-00180,WIZ-00255,GLD-10,adept,2026-05-15,
MEM-00181,WIZ-00257,GLD-10,Adept,2024-02-22,
MEM-00182,WIZ-00259,GLD-02,adept,2023-10-19,2025-05-06
MEM-00183,WIZ-00259,GLD-02,Archmage,2025-05-06,
MEM-00184,WIZ-00260,GLD-05,adept,2026-06-13,
MEM-00185,WIZ-00261,GLD-07,apprentice,2026-04-15,
MEM-00186,WIZ-00262,GLD-07,Apprentice,2024-02-23,
MEM-00187,WIZ-00263,GLD-02,apprentice,2025-04-18,
MEM-00188,WIZ-00264,GLD-09,apprentice,2025-12-04,
MEM-00189,WIZ-00265,GLD-05,Apprentice,2024-10-14,
MEM-00190,WIZ-00267,GLD-12,adept,2025-07-29,
MEM-00191,WIZ-00269,GLD-02,apprentice,2025-04-08,
MEM-00192,WIZ-00270,GLD-11,archmage,2026-04-15,
MEM-00193,WIZ-00271,GLD-01,apprentice,2024-06-14,2025-03-29
MEM-00194,WIZ-00271,GLD-01,adept,2025-03-29,
MEM-00195,WIZ-00272,GLD-06,adept,2025-07-11,
MEM-00196,WIZ-00273,GLD-01,APPRENTICE,2025-08-16,
MEM-00197,WIZ-00276,GLD-03,apprentice,2026-02-02,
MEM-00198,WIZ-00279,GLD-06,apprentice,2026-04-13,
MEM-00199,WIZ-00281,GLD-06,apprentice,2026-05-24,
MEM-00200,WIZ-00282,GLD-05,apprentice,2024-04-13,
MEM-00201,WIZ-00286,GLD-09,APPRENTICE,2024-05-23,
MEM-00202,WIZ-00287,GLD-04,apprentice,2023-11-03,
MEM-00203,WIZ-00288,GLD-08,adept,2026-03-16,2026-04-15
MEM-00204,WIZ-00288,GLD-08,Archmage,2026-04-15,
MEM-00205,WIZ-00291,GLD-10,Apprentice,2023-12-28,
MEM-00206,WIZ-00292,GLD-12,apprentice,2024-05-06,
MEM-00207,WIZ-00293,GLD-01,adept,2026-04-26,
MEM-00208,WIZ-00295,GLD-03,apprentice,2026-06-11,
MEM-00209,WIZ-00298,GLD-06,APPRENTICE,2024-06-05,
MEM-00210,WIZ-00299,GLD-06,Apprentice,2025-08-24,
MEM-00211,WIZ-00300,GLD-12,archmage,2025-07-17,
MEM-00212,WIZ-00301,GLD-07,adept,2024-01-03,
MEM-00213,WIZ-00304,GLD-10,apprentice,2025-09-27,
MEM-00214,WIZ-00305,GLD-08,adept,2026-05-02,
MEM-00215,WIZ-00306,GLD-04,ADEPT,2023-12-13,
MEM-00216,WIZ-00307,GLD-08,apprentice,2023-07-12,
MEM-00217,WIZ-00308,GLD-09,adept,2026-03-22,
MEM-00218,WIZ-00309,GLD-08,adept,2024-02-16,
MEM-00219,WIZ-00310,GLD-02,adept,2026-02-12,
MEM-00220,WIZ-00311,GLD-05,apprentice,2026-02-16,
MEM-00221,WIZ-00313,GLD-04,apprentice,2026-05-16,
MEM-00222,WIZ-00314,GLD-07,apprentice,2025-06-28,2025-08-15
MEM-00223,WIZ-00314,GLD-07,adept,2025-08-15,
MEM-00224,WIZ-00318,GLD-08,adept,2026-03-02,
MEM-00225,WIZ-00322,GLD-05,apprentice,2024-10-01,
MEM-00226,WIZ-00323,GLD-09,APPRENTICE,2025-03-22,2025-05-12
MEM-00227,WIZ-00323,GLD-09,Adept,2025-05-12,
MEM-00228,WIZ-00324,GLD-01,ADEPT,2026-06-27,
MEM-00229,WIZ-00325,GLD-11,Apprentice,2026-05-11,
MEM-00230,WIZ-00326,GLD-09,adept,2025-05-19,
MEM-00231,WIZ-00329,GLD-08,apprentice,2025-02-10,
MEM-00232,WIZ-00330,GLD-09,adept,2025-04-23,2025-11-10
MEM-00233,WIZ-00330,GLD-09,archmage,2025-11-10,
MEM-00234,WIZ-00332,GLD-12,adept,2026-06-02,
MEM-00235,WIZ-00333,GLD-09,ADEPT,2023-11-30,2024-02-22
MEM-00236,WIZ-00333,GLD-09,archmage,2024-02-22,
MEM-00237,WIZ-00336,GLD-01,apprentice,2025-07-18,
MEM-00238,WIZ-00338,GLD-11,Adept,2023-10-27,
MEM-00239,WIZ-00339,GLD-12,apprentice,2024-06-28,
MEM-00240,WIZ-00341,GLD-07,adept,2026-01-30,
MEM-00241,WIZ-00342,GLD-07,apprentice,2024-05-10,
MEM-00242,WIZ-00343,GLD-01,Apprentice,2026-03-05,
MEM-00243,WIZ-00344,GLD-01,apprentice,2024-03-14,
MEM-00244,WIZ-00345,GLD-06,Adept,2024-12-23,2026-01-09
MEM-00245,WIZ-00345,GLD-06,Archmage,2026-01-09,
MEM-00246,WIZ-00347,GLD-10,adept,2025-06-02,
MEM-00247,WIZ-00352,GLD-08,apprentice,2025-12-12,
MEM-00248,WIZ-00353,GLD-08,apprentice,2023-05-07,
MEM-00249,WIZ-00354,GLD-03,apprentice,2023-02-22,
MEM-00250,WIZ-00355,GLD-06,apprentice,2023-10-27,
MEM-00251,WIZ-00358,GLD-12,APPRENTICE,2025-12-02,2026-02-07
MEM-00252,WIZ-00358,GLD-12,adept,2026-02-07,
MEM-00253,WIZ-00359,GLD-11,ADEPT,2026-05-11,
MEM-00254,WIZ-00362,GLD-10,apprentice,2024-04-15,
MEM-00255,WIZ-00365,GLD-08,apprentice,2023-07-26,2024-05-22
MEM-00256,WIZ-00365,GLD-08,adept,2024-05-22,
MEM-00257,WIZ-00366,GLD-05,apprentice,2025-12-06,
MEM-00258,WIZ-00370,GLD-05,APPRENTICE,2026-03-06,2026-06-08
MEM-00259,WIZ-00370,GLD-05,Adept,2026-06-08,
MEM-00260,WIZ-00371,GLD-03,apprentice,2026-06-06,
MEM-00261,WIZ-00372,GLD-12,adept,2024-06-09,
MEM-00262,WIZ-00373,GLD-10,apprentice,2024-02-13,
MEM-00263,WIZ-00375,GLD-01,apprentice,2026-04-07,
MEM-00264,WIZ-00377,GLD-10,adept,2026-04-17,
MEM-00265,WIZ-00378,GLD-07,apprentice,2025-05-19,
MEM-00266,WIZ-00380,GLD-07,Adept,2025-05-08,
MEM-00267,WIZ-00381,GLD-12,APPRENTICE,2026-06-09,
MEM-00268,WIZ-00386,GLD-05,apprentice,2024-02-08,
MEM-00269,WIZ-00388,GLD-06,adept,2025-01-02,
MEM-00270,WIZ-00391,GLD-05,apprentice,2026-03-15,
MEM-00271,WIZ-00392,GLD-04,adept,2023-11-04,2024-01-27
MEM-00272,WIZ-00392,GLD-04,archmage,2024-01-27,
MEM-00273,WIZ-00395,GLD-06,adept,2024-03-18,
MEM-00274,WIZ-00396,GLD-02,archmage,2026-06-28,
MEM-00275,WIZ-00397,GLD-10,apprentice,2025-07-17,
MEM-00276,WIZ-00399,GLD-05,apprentice,2026-01-29,
MEM-00277,WIZ-00400,GLD-10,APPRENTICE,2023-08-17,
MEM-00278,WIZ-00401,GLD-06,archmage,2024-01-17,
MEM-00279,WIZ-00402,GLD-05,apprentice,2025-03-16,
MEM-00280,WIZ-00404,GLD-12,apprentice,2026-02-27,2026-06-23
MEM-00281,WIZ-00404,GLD-12,adept,2026-06-23,
MEM-00282,WIZ-00405,GLD-04,Apprentice,2026-06-03,
MEM-00283,WIZ-00407,GLD-10,Adept,2026-04-07,
MEM-00284,WIZ-00408,GLD-03,apprentice,2024-11-24,
MEM-00285,WIZ-00409,GLD-07,Apprentice,2024-09-20,
MEM-00286,WIZ-00410,GLD-01,apprentice,2025-03-15,
MEM-00287,WIZ-00411,GLD-01,apprentice,2024-09-01,
MEM-00288,WIZ-00412,GLD-12,apprentice,2026-05-04,
MEM-00289,WIZ-00413,GLD-05,archmage,2025-03-24,
MEM-00290,WIZ-00414,GLD-03,adept,2024-05-15,
MEM-00291,WIZ-00416,GLD-02,Adept,2023-09-07,
MEM-00292,WIZ-00417,GLD-08,apprentice,2024-02-14,
MEM-00293,WIZ-00418,GLD-01,apprentice,2023-11-29,
MEM-00294,WIZ-00421,GLD-04,apprentice,2026-05-16,
MEM-00295,WIZ-00422,GLD-08,apprentice,2026-04-20,
MEM-00296,WIZ-00423,GLD-04,Apprentice,2025-06-09,
MEM-00297,WIZ-00425,GLD-05,adept,2024-02-22,
MEM-00298,WIZ-00427,GLD-04,archmage,2026-06-03,
MEM-00299,WIZ-00428,GLD-05,apprentice,2024-07-14,2025-06-07
MEM-00300,WIZ-00428,GLD-05,adept,2025-06-07,
MEM-00301,WIZ-00429,GLD-06,adept,2026-01-22,2026-05-04
MEM-00302,WIZ-00429,GLD-06,archmage,2026-05-04,
MEM-00303,WIZ-00430,GLD-04,adept,2025-05-17,2025-11-14
MEM-00304,WIZ-00430,GLD-04,ARCHMAGE,2025-11-14,
MEM-00305,WIZ-00432,GLD-04,archmage,2026-06-18,
MEM-00306,WIZ-00433,GLD-02,apprentice,2026-01-13,
MEM-00307,WIZ-00435,GLD-06,apprentice,2026-05-25,
MEM-00308,WIZ-00437,GLD-12,apprentice,2024-10-08,
MEM-00309,WIZ-00441,GLD-04,apprentice,2025-11-13,
MEM-00310,WIZ-00442,GLD-06,apprentice,2023-03-31,
MEM-00311,WIZ-00444,GLD-08,adept,2023-03-30,
MEM-00312,WIZ-00445,GLD-04,apprentice,2026-02-09,
MEM-00313,WIZ-00446,GLD-04,adept,2024-07-22,
MEM-00314,WIZ-00447,GLD-04,apprentice,2025-10-25,
MEM-00315,WIZ-00448,GLD-01,apprentice,2025-03-29,2025-09-22
MEM-00316,WIZ-00448,GLD-01,Adept,2025-09-22,
MEM-00317,WIZ-00449,GLD-12,archmage,2026-06-08,
MEM-00318,WIZ-00452,GLD-12,Apprentice,2024-07-10,
MEM-00319,WIZ-00454,GLD-06,apprentice,2023-08-29,
MEM-00320,WIZ-00456,GLD-01,adept,2026-04-05,
MEM-00321,WIZ-00457,GLD-01,apprentice,2024-02-22,
MEM-00322,WIZ-00458,GLD-08,Archmage,2026-06-22,
MEM-00323,WIZ-00460,GLD-12,Adept,2025-03-13,2025-09-25
MEM-00324,WIZ-00460,GLD-12,archmage,2025-09-25,
MEM-00325,WIZ-00461,GLD-04,adept,2024-12-19,
MEM-00326,WIZ-00464,GLD-01,adept,2023-08-07,
MEM-00327,WIZ-00466,GLD-02,apprentice,2023-12-11,
MEM-00328,WIZ-00470,GLD-06,adept,2024-01-21,
MEM-00329,WIZ-00474,GLD-09,Apprentice,2026-02-13,
MEM-00330,WIZ-00475,GLD-03,adept,2026-02-20,
MEM-00331,WIZ-00476,GLD-11,adept,2026-06-04,
MEM-00332,WIZ-00478,GLD-03,apprentice,2025-11-06,
MEM-00333,WIZ-00480,GLD-11,adept,2024-05-04,
MEM-00334,WIZ-00482,GLD-05,apprentice,2026-06-26,
MEM-00335,WIZ-00483,GLD-09,archmage,2025-06-26,
MEM-00336,WIZ-00486,GLD-12,adept,2023-05-06,
MEM-00337,WIZ-00487,GLD-07,apprentice,2025-07-21,
MEM-00338,WIZ-00488,GLD-09,adept,2026-04-06,
MEM-00339,WIZ-00490,GLD-08,adept,2024-05-31,
MEM-00340,WIZ-00491,GLD-10,Archmage,2025-07-16,
MEM-00341,WIZ-00492,GLD-06,apprentice,2024-02-04,
MEM-00342,WIZ-00494,GLD-05,Archmage,2024-12-05,
MEM-00343,WIZ-00499,GLD-02,Apprentice,2026-06-03,
MEM-00344,WIZ-00500,GLD-05,apprentice,2024-07-19,
MEM-00345,WIZ-00504,GLD-01,Adept,2026-06-14,
MEM-00346,WIZ-00505,GLD-04,Apprentice,2024-11-10,
MEM-00347,WIZ-00508,GLD-08,apprentice,2025-09-16,2026-05-25
MEM-00348,WIZ-00508,GLD-08,Adept,2026-05-25,
MEM-00349,WIZ-00509,GLD-05,apprentice,2023-07-11,
MEM-00350,WIZ-00510,GLD-04,apprentice,2025-06-12,
MEM-00351,WIZ-00513,GLD-09,Adept,2026-04-19,
MEM-00352,WIZ-00514,GLD-10,apprentice,2024-05-15,
MEM-00353,WIZ-00515,GLD-10,apprentice,2024-01-18,
MEM-00354,WIZ-00516,GLD-06,apprentice,2026-06-17,
MEM-00355,WIZ-00517,GLD-05,archmage,2025-07-06,
MEM-00356,WIZ-00518,GLD-10,apprentice,2023-11-26,
MEM-00357,WIZ-00521,GLD-04,adept,2025-03-24,
MEM-00358,WIZ-00522,GLD-11,apprentice,2025-10-13,2025-11-25
MEM-00359,WIZ-00522,GLD-11,adept,2025-11-25,
MEM-00360,WIZ-00523,GLD-12,Archmage,2024-07-10,
MEM-00361,WIZ-00525,GLD-10,Adept,2026-05-11,
MEM-00362,WIZ-00526,GLD-06,Apprentice,2024-04-01,
MEM-00363,WIZ-00527,GLD-09,apprentice,2026-01-27,
MEM-00364,WIZ-00528,GLD-04,apprentice,2024-06-16,
MEM-00365,WIZ-00529,GLD-09,apprentice,2024-12-19,2026-02-17
MEM-00366,WIZ-00529,GLD-09,adept,2026-02-17,
MEM-00367,WIZ-00530,GLD-08,adept,2023-10-08,2023-11-27
MEM-00368,WIZ-00530,GLD-08,ARCHMAGE,2023-11-27,
MEM-00369,WIZ-00531,GLD-11,apprentice,2026-06-27,
MEM-00370,WIZ-00532,GLD-09,adept,2025-11-29,
MEM-00371,WIZ-00533,GLD-05,apprentice,2025-07-01,
MEM-00372,WIZ-00534,GLD-01,apprentice,2025-07-16,
MEM-00373,WIZ-00536,GLD-09,apprentice,2023-11-30,
MEM-00374,WIZ-00537,GLD-02,adept,2024-11-02,
MEM-00375,WIZ-00538,GLD-06,adept,2026-03-10,
MEM-00376,WIZ-00539,GLD-05,adept,2025-12-27,2026-05-27
MEM-00377,WIZ-00539,GLD-05,archmage,2026-05-27,
MEM-00378,WIZ-00540,GLD-06,adept,2026-01-28,
MEM-00379,WIZ-00541,GLD-06,Apprentice,2024-01-18,
MEM-00380,WIZ-00542,GLD-01,archmage,2025-10-07,
MEM-00381,WIZ-00543,GLD-02,Apprentice,2026-03-22,2026-04-24
MEM-00382,WIZ-00543,GLD-02,ADEPT,2026-04-24,
MEM-00383,WIZ-00545,GLD-04,apprentice,2025-07-24,
MEM-00384,WIZ-00546,GLD-11,apprentice,2024-09-29,2025-03-08
MEM-00385,WIZ-00546,GLD-11,Adept,2025-03-08,
MEM-00386,WIZ-00548,GLD-01,Apprentice,2024-12-26,2026-05-31
MEM-00387,WIZ-00548,GLD-01,ADEPT,2026-05-31,
MEM-00388,WIZ-00550,GLD-07,apprentice,2025-01-05,2025-04-08
MEM-00389,WIZ-00550,GLD-07,adept,2025-04-08,
MEM-00390,WIZ-00551,GLD-06,adept,2024-03-28,
MEM-00391,WIZ-00552,GLD-02,apprentice,2025-02-06,
MEM-00392,WIZ-00553,GLD-12,apprentice,2024-03-02,
MEM-00393,WIZ-00554,GLD-08,apprentice,2024-09-02,
MEM-00394,WIZ-00555,GLD-10,adept,2026-05-06,
MEM-00395,WIZ-00556,GLD-03,apprentice,2026-06-25,
MEM-00396,WIZ-00558,GLD-03,APPRENTICE,2026-01-15,2026-04-18
MEM-00397,WIZ-00558,GLD-03,adept,2026-04-18,
MEM-00398,WIZ-00561,GLD-07,apprentice,2024-01-12,
MEM-00399,WIZ-00563,GLD-12,apprentice,2026-06-20,
MEM-00400,WIZ-00564,GLD-09,ADEPT,2023-07-04,
MEM-00401,WIZ-00565,GLD-09,apprentice,2026-03-17,
MEM-00402,WIZ-00569,GLD-07,APPRENTICE,2024-08-27,2024-11-17
MEM-00403,WIZ-00569,GLD-07,Adept,2024-11-17,
MEM-00404,WIZ-00571,GLD-08,adept,2026-01-31,
